x,y,class_id,class_name,B02,B03,B04,B05,B06,B07,B08,B8A,B11,B12
657283.2901013067,5588752.9903298225,10,Forest,0.07790084838867188,0.08071636962890626,0.06148995361328125,0.10388404541015625,0.2709317626953125,0.333705224609375,0.32071630859375,0.3482208740234375,0.16648848876953126,0.08616547241210938
654550.9463326655,5582737.713606763,10,Forest,0.04420464172363281,0.06565620727539062,0.030277728271484373,0.1081254638671875,0.3639852294921875,0.443596728515625,0.44403310546875,0.46956201171875,0.20082369384765625,0.08851282958984374
651334.4226223484,5581587.606811539,10,Forest,0.042010977172851564,0.052668450927734374,0.029335479736328125,0.060027667236328124,0.16242095947265625,0.196911328125,0.246949169921875,0.20873876953125,0.09441726684570312,0.04847288208007813
647123.027270501,5587996.310757602,10,Forest,0.020402391052246095,0.037207342529296875,0.01760535888671875,0.06554214477539062,0.1844345458984375,0.2112952880859375,0.3540295166015625,0.2295666015625,0.09384389038085937,0.04673999328613281
663029.5001105916,5584902.718000042,10,Forest,0.032300247192382815,0.04443283081054687,0.024468504333496094,0.08211007690429688,0.2964630615234375,0.3720290283203125,0.339592236328125,0.3979471435546875,0.16026358642578126,0.07403886108398437
651912.3939745021,5577153.434288242,10,Forest,0.034073605346679685,0.05694735717773437,0.027786972045898438,0.082686474609375,0.2479088134765625,0.2997377685546875,0.2996839599609375,0.313306884765625,0.12854996337890626,0.06026087646484375
659850.9579418774,5566834.495380655,10,Forest,0.05964425048828125,0.067437060546875,0.04006832885742188,0.09819546508789062,0.2221804443359375,0.268757861328125,0.219254833984375,0.2939144287109375,0.1573860595703125,0.087433544921875
658507.0034651582,5563632.239774197,10,Forest,0.06448013916015626,0.08887374267578126,0.03463561096191406,0.1034634765625,0.3312555908203125,0.412001318359375,0.448275927734375,0.449696630859375,0.1867582763671875,0.10337779541015625
651472.8686640013,5573839.913155886,10,Forest,0.034273876953125,0.0555419921875,0.03654849548339844,0.0681556884765625,0.16919951171875,0.207204150390625,0.20397777099609374,0.2216742919921875,0.1060167236328125,0.0641097900390625
661110.1351969166,5582525.522498459,10,Forest,0.03371338195800781,0.05437040405273438,0.034392425537109375,0.07362501831054688,0.18063970947265626,0.209327490234375,0.2412114013671875,0.2278999755859375,0.0976364990234375,0.0514485595703125
651203.6773994009,5592766.44625509,10,Forest,0.3923670166015625,0.386124169921875,0.673381201171875,0.63198740234375,0.614809375,0.6086681640625,0.6462205078125,0.600131201171875,0.15582628173828125,0.1599871826171875
653927.4898137446,5586428.580233463,10,Forest,0.07405986938476562,0.0868157958984375,0.05932424926757812,0.125836474609375,0.2735488037109375,0.32396181640625,0.377187841796875,0.3467911376953125,0.20021998291015625,0.1127899658203125
644896.0824086095,5575872.028955031,10,Forest,0.054010107421875,0.06468502807617188,0.04613654174804688,0.1035929443359375,0.2409525634765625,0.2801514404296875,0.285864111328125,0.30609765625,0.1437821533203125,0.07558128051757812
646300.597873318,5580685.656035041,10,Forest,0.030451123046875,0.04485013122558594,0.031123294067382814,0.07320590209960938,0.19237332763671874,0.22395517578125,0.2165229736328125,0.2397677490234375,0.11407017822265625,0.0588064208984375
654765.130084433,5570318.72609233,10,Forest,0.054926336669921874,0.04085825500488281,0.026654116821289063,0.0618527587890625,0.15894356689453126,0.19760703125,0.2441743896484375,0.2309275390625,0.108506396484375,0.07549935302734374
646640.2412664974,5593638.876881596,10,Forest,0.06608300170898437,0.07879119262695312,0.10163076782226563,0.173409033203125,0.381780859375,0.441246875,0.490689794921875,0.471776025390625,0.24610966796875,0.16027193603515624
661716.2663299725,5565935.8189409925,10,Forest,0.151713720703125,0.14259354248046874,0.05612789916992188,0.1152306884765625,0.28094228515625,0.333274853515625,0.2955098876953125,0.3599690673828125,0.15626995849609376,0.0987640380859375
663590.2088293568,5580190.585918847,10,Forest,0.03236005859375,0.0550771484375,0.02999126892089844,0.07673783569335937,0.2118662109375,0.2564437255859375,0.28101318359375,0.2773081787109375,0.14144727783203126,0.07525980224609374
659984.2845551115,5587387.5717570335,10,Forest,0.064278076171875,0.07132395629882812,0.04040827331542969,0.1131000732421875,0.363011474609375,0.4383505859375,0.428752734375,0.467611328125,0.18183599853515625,0.08626054077148437
649262.859390896,5587314.613467702,10,Forest,0.0635280029296875,0.06367607421875,0.0408626708984375,0.07990340576171875,0.15655919189453124,0.17839857177734375,0.19050478515625,0.19383782958984375,0.12376142578125,0.06300777587890626
661830.0013345566,5565521.995126342,10,Forest,0.519715771484375,0.514027294921875,0.04049577331542969,0.10956162109375,0.3267803955078125,0.39994345703125,0.432902001953125,0.425590673828125,0.17035699462890624,0.08552083129882812
659653.422435873,5594786.883460792,10,Forest,0.03465850524902344,0.03867098388671875,0.03586169128417969,0.06646949462890625,0.1350795654296875,0.167241015625,0.10317218017578125,0.1782653564453125,0.10654647216796875,0.0887603759765625
656223.0534372185,5587951.841582151,10,Forest,0.06729198608398437,0.08203270263671875,0.10796995849609375,0.14972454833984375,0.2288063720703125,0.26709560546875,0.28262509765625,0.2959656982421875,0.241953125,0.15898564453125
656484.9055511157,5588710.706042084,10,Forest,0.10048906860351563,0.113888134765625,0.0697795166015625,0.12860894775390624,0.2390151123046875,0.278493310546875,0.3209914794921875,0.3117814697265625,0.3035831298828125,0.182009423828125
658422.9225860004,5575610.163186402,10,Forest,0.055615802001953124,0.09254095458984375,0.0751908203125,0.1334272705078125,0.3177677734375,0.3873155029296875,0.41576708984375,0.411215234375,0.20689404296875,0.1270559814453125
652089.7588093624,5583575.035430189,10,Forest,0.0409,0.04394220581054688,0.03177729797363281,0.07736290893554687,0.187731591796875,0.229504345703125,0.25662001953125,0.2535849365234375,0.15015684814453126,0.0821909912109375
647756.738982744,5584611.135085168,10,Forest,0.030535333251953126,0.04677457275390625,0.02995421142578125,0.07912197875976562,0.21929111328125,0.266761083984375,0.2874411865234375,0.288643212890625,0.1046795166015625,0.05092815856933594
650523.4541180866,5592338.982624367,10,Forest,0.85566416015625,0.749787060546875,0.65812314453125,0.630126708984375,0.59150009765625,0.579434912109375,0.70161953125,0.553751611328125,0.28503896484375,0.17297734375
658526.3453722403,5591145.566824849,10,Forest,0.03747349243164062,0.05148472290039063,0.051208685302734376,0.09434810180664062,0.23811064453125,0.2929180419921875,0.2796423828125,0.32861318359375,0.19527174072265624,0.105655615234375
660774.8002857977,5575402.812079656,10,Forest,0.035951907348632815,0.06737075805664063,0.03810875854492188,0.10991468505859375,0.4001031005859375,0.511584228515625,0.525509716796875,0.530361669921875,0.16634112548828126,0.07950408935546875
661480.5488346727,5578354.594690349,10,Forest,0.037257452392578126,0.0638565185546875,0.03266992492675781,0.09321188354492188,0.248497119140625,0.3021159423828125,0.3194953125,0.3155278564453125,0.13167669677734375,0.06771288452148437
662727.9986908236,5589873.27348915,10,Forest,0.049007659912109376,0.04918204650878906,0.054083258056640625,0.08264605102539062,0.16787410888671875,0.19796212158203125,0.1887438720703125,0.2219096435546875,0.09299595336914063,0.067776513671875
